complaint_text,base_severity,category,compllaint_text
"The waste collection vehicle makes too much noise late at night in our residential area, disturbing sleep.",1,Waste_Management,
"There's a recurring problem of garbage being dumped near the boundary wall of our school, creating an unpleasant environment for children.",3,Waste_Management,
"Despite repeated complaints, the garbage hill near the railway track in Bandra has not been cleared. It's a health hazard for slum dwellers.",5,Waste_Management,
The waste collectors skip our lane frequently. Our bins stay full for days and start to smell awful.,3,Waste_Management,
Overflowing waste bins at the park entrance on MG Road. It's discouraging people from using the park.,2,Waste_Management,
"Residents are not segregating waste at source, leading to mixed waste being collected and hampering recycling efforts.",2,Waste_Management,
"Construction and demolition waste is constantly being dumped on the vacant plot next to our society, causing dust and pollution.",4,Waste_Management,
"The waste transfer station in our zone is always overflowing, spilling onto the main road. It's a huge traffic and hygiene issue.",4,Waste_Management,
"During festival season, waste collection becomes very slow, and heaps of garbage accumulate near every market.",3,Waste_Management,
"Stray cows are constantly rummaging through the uncollected garbage near the bus depot, creating a dangerous situation for commuters.",4,Waste_Management,
The municipal workers demand extra money to pick up large items like old mattresses. This should be part of their duty.,2,Waste_Management,
"No separate bins for dry and wet waste are provided in our locality, making segregation impossible for us.",2,Waste_Management,
"The waste truck often leaks foul-smelling liquid onto the roads as it passes, leaving trails of filth.",3,Waste_Management,
"Unauthorised burning of garbage occurs every evening in the vacant plots near our housing complex, causing severe air pollution.",4,Waste_Management,
"The roadside bins near the local school are always overflowing by midday, attracting flies and pests. Unhealthy for kids.",3,Waste_Management,
"Lack of proper waste management in the slum area behind our colony. The entire area is littered with trash, leading to diseases.",5,Waste_Management,
"The street lights near the waste collection point are broken, making it difficult to monitor illegal dumping at night.",2,Waste_Management,
The municipal waste collection schedule is not consistent. We never know when they will show up.,2,Waste_Management,
There's a huge pile of garden waste and dried leaves near the community hall. It's been there for weeks and is a fire hazard.,3,Waste_Management,
"The workers cleaning the drains after monsoon have left all the silt and garbage on the roadside, which will just go back in.",3,Waste_Management,
"People are dumping household garbage along the canal bank, polluting the water and making it a breeding ground for mosquitoes.",4,Waste_Management,
The bins provided are too small for the population density of our area. They fill up within hours.,2,Waste_Management,
Complaints about uncollected waste near our office building are ignored. The area around Connaught Place needs better maintenance.,3,Waste_Management,
"The local market generates huge amounts of organic waste daily, but there's no proper system for its disposal or composting.",3,Waste_Management,
"Broken glass and sharp objects are often mixed with general waste, posing a risk to waste collectors.",3,Waste_Management,
"The waste collection points are not cleaned after emptying, leaving behind residual garbage and a foul smell.",2,Waste_Management,
"Street vendors contribute significantly to litter, especially plastic cups and food wrappers. Fines should be imposed.",2,Waste_Management,
Unattended garbage heaps near the railway bridge are causing a terrible stench and attracting rodents to our locality.,4,Waste_Management,
"The waste disposal system in our housing society has completely broken down. Bins are full, and no one is collecting.",4,Waste_Management,
A huge amount of discarded items from a renovation project have been left on the pavement outside Sector 18. It's been weeks.,3,Waste_Management,
The area behind the main market complex is always filthy with food waste and packaging. It's a major hygiene concern.,3,Waste_Management,
No provision for e-waste collection in our city. People just dump old electronics with regular garbage.,3,Waste_Management,
"The garbage truck sometimes spills waste on the road while lifting bins, and it's left there by the crew.",2,Waste_Management,
Excessive amount of plastic waste accumulating on the banks of the Yamuna River near the Ghats. Urgent cleanup needed.,5,Waste_Management,
"The frequency of waste collection has decreased drastically in our ward. We need daily collection, not alternate days.",3,Waste_Management,
A vacant plot in front of the community center is being used as an unofficial dumping ground. Needs to be fenced off and cleared.,4,Waste_Management,
"The public toilets in our area are often left overflowing with waste and uncleaned, leading to unbearable smells.",4,Waste_Management,
"The municipal staff responsible for sweeping our streets often arrive late and leave early, doing a superficial job.",2,Waste_Management,
"There's a persistent issue of waste accumulation near the bus stand in Karol Bagh, creating a very unpleasant first impression.",3,Waste_Management,
"Poor maintenance of waste containers – many are broken, rusted, or have missing lids, allowing waste to spill out.",2,Waste_Management,
"During Diwali, the amount of firecracker waste left on the streets is immense, and it takes days for municipal workers to clear it.",3,Waste_Management,
Illegal dumping of hazardous industrial waste on the outskirts of the city. This is a severe environmental crime.,5,Waste_Management,
"The waste compactors used by the municipality are frequently out of order, leading to manual handling and delays.",3,Waste_Management,
Many residential colonies lack door-to-door waste collection. Residents have to carry their waste to distant dhalaos.,3,Waste_Management,
"The area around the local pond is littered with puja offerings and plastic bags, affecting the aquatic life.",4,Waste_Management,
"Pigs and other animals are constantly scavenging through the uncollected garbage near the main road, causing traffic hazards.",4,Waste_Management,
"The bins outside the local government office are perpetually overflowing, setting a bad example for citizens.",3,Waste_Management,
Lack of dustbins inside the local park means people litter everywhere. Please provide more bins.,2,Waste_Management,
"The main drain in our locality is choked with plastic and waste, causing a severe mosquito problem.",4,Waste_Management,
Uncollected garbage near the hospital entrance. It's a very unhygienic sight and potential source of infection for patients.,4,Waste_Management,
"The roadside eateries throw their waste directly onto the street after closing, creating a huge mess every night.",3,Waste_Management,
"The waste collection vehicle arrives at inconsistent times, making it difficult for residents to dispose of waste properly.",2,Waste_Management,
A huge pile of household waste has been dumped at the entrance of our lane for days. It's attracting rats.,3,Waste_Management,
The garbage collected from the street sweeping is often left in small piles for hours before being picked up.,2,Waste_Management,
"Inadequate waste disposal facilities near the tourist spots, leading to littering and defacing public spaces.",3,Waste_Management,
"The waste collection staff refuse to take segregated waste if it's not perfectly clean, discouraging residents from segregating.",2,Waste_Management,
"The area around the wholesale market in Begum Bazar is always submerged in vegetable and fruit waste. Needs daily, thorough cleaning.",4,Waste_Management,
"There's a strong, pervasive smell of rotting garbage originating from the landfill site that reaches our colony daily.",4,Waste_Management,
Unsecured waste at the transfer station means wind scatters plastic bags and papers all over the neighbourhood.,3,Waste_Management,
The garbage collection services are completely absent in newly developed extensions of our city.,4,Waste_Management,
Overflowing waste bins at the entrance of the metro station on Saturday evenings. Needs more frequent clearing.,3,Waste_Management,
"The drainage system is clogged with plastic bottles and food wrappers, causing frequent waterlogging issues.",4,Waste_Management,
Lack of awareness campaigns on waste segregation. Most citizens are still mixing all types of waste.,1,Waste_Management,
Large items like refrigerators and washing machines are often dumped on roadsides for weeks before removal.,3,Waste_Management,
"The waste collection truck broke down near our lane, and the garbage was left on the road for over 24 hours.",3,Waste_Management,
"The area around the government school in Rajouri Garden is always full of litter, especially after school hours.",3,Waste_Management,
"Improper disposal of sanitary waste by some residents, leading to blockages and unhygienic conditions.",3,Waste_Management,
"Many dustbins are placed in inconvenient locations, forcing people to walk far or dump waste elsewhere.",2,Waste_Management,
The garbage collectors are often rude and demand 'baksheesh' (tips) for doing their job.,1,Waste_Management,
The area behind the local 'panipuri' stall is always filthy with discarded plates and cups. Needs regular cleanup.,2,Waste_Management,
"During monsoon, uncollected waste gets washed into the storm drains, exacerbating flooding.",4,Waste_Management,
Overflowing waste bin near the children's playground. Bad for health and aesthetics.,3,Waste_Management,
The waste management plant near our village is emitting a terrible smell and causing respiratory problems for residents.,5,Waste_Management,
There's a lot of pet waste left on the footpaths in our colony. Bins for pet waste are needed.,2,Waste_Management,
The main road leading to the industrial area is always lined with illegally dumped industrial waste.,4,Waste_Management,
"Many bins are filled with construction debris, not household waste, leading to a shortage of space for regular garbage.",3,Waste_Management,
"The municipal staff don't wear proper safety gear while handling waste, posing risks to their health.",1,Waste_Management,
Uncollected garbage near the local pond for weeks. It's polluting the water and harming biodiversity.,5,Waste_Management,
"The street lights near the waste collection point are always off, encouraging illegal dumping at night.",2,Waste_Management,
"The waste collection trucks are old and frequently break down, disrupting services.",2,Waste_Management,
Our lane gets skipped by the waste collection truck almost every week. Why are we being ignored?,3,Waste_Management,
"The local market is always a mess after 8 PM, with vendors leaving their waste on the streets.",3,Waste_Management,
"Too much plastic packaging from online deliveries is becoming a huge problem, with no proper recycling channels.",2,Waste_Management,
The waste collection points are not swept or cleaned after the bins are emptied. Leftover litter is common.,2,Waste_Management,
"Unauthorised waste burning near the river bank. Polluting air and water, seriously impacting the environment.",5,Waste_Management,
"The waste bins provided are not robust enough; they break easily, leading to spilled garbage.",2,Waste_Management,
"Despite a clear sign, people continue to dump waste outside the apartment complex gate. Fines are needed.",3,Waste_Management,
"The waste collection vehicle makes too much noise early morning, waking up residents.",1,Waste_Management,
"A huge amount of discarded food waste from a local eatery is dumped near the road, attracting flies and stray animals.",3,Waste_Management,
"The main drain running through our colony is completely choked with plastic and domestic waste, posing a flood risk.",4,Waste_Management,
Uncollected garbage near the local bus stop. Passengers often have to wait amidst filth.,3,Waste_Management,
"The municipality needs to provide separate bins for sanitary waste in public places, especially for women.",2,Waste_Management,
"The waste collectors often arrive late, causing inconvenience for residents who have to wait or rush to dispose of waste.",2,Waste_Management,
"A large amount of dry leaves and garden waste has been piling up near the park entrance, waiting for collection for days.",3,Waste_Management,
Illegal dumping of old tires and vehicle parts behind the transport yard. It's an environmental hazard.,4,Waste_Management,
"The waste collection points are too far from many houses in our colony, making it difficult for elderly residents.",2,Waste_Management,
"The public bins are never emptied on time during weekends, leading to massive overflows by Monday morning.",3,Waste_Management,
Many shopkeepers just sweep their shop waste onto the main road instead of disposing of it properly.,2,Waste_Management,
"The waste collection agency is using inefficient methods, often leaving behind a lot of spills and residue.",2,Waste_Management,
"A huge heap of garbage has accumulated at the junction of Road No. 3 and 4, causing traffic obstruction and an awful smell.",4,Waste_Management,
"The lack of regular street cleaning around the local market area is causing a huge mess, especially near the fish stalls.",3,Waste_Management,
"The workers cleaning the drains leave the waste on the roadside for days, which then just washes back into the drains.",3,Waste_Management,
"There's an unhygienic accumulation of garbage near the primary health center, posing a serious threat to patients and staff.",4,Waste_Management,
"The waste collection schedule is not communicated effectively to residents, leading to confusion and missed collections.",1,Waste_Management,
"Stray dogs frequently tear open garbage bags left outside, scattering waste all over the street.",3,Waste_Management,
"The waste bins provided are often too small for the volume of waste generated, especially in commercial areas.",2,Waste_Management,
"Lack of proper facilities for disposal of religious offerings and floral waste, leading to littering of water bodies.",3,Waste_Management,
The waste management department is not responding to citizen complaints about irregular collection in our area.,3,Waste_Management,
"A huge amount of debris and waste from a demolished building has been left unattended on the main road, causing a blockage.",4,Waste_Management,
"The waste collection workers are often seen collecting waste without gloves or masks, risking their health.",1,Waste_Management,
"The open waste collection points attract a lot of rats and other pests, making our neighborhood unhygienic.",4,Waste_Management,
"The garbage bins in our market area are always overflowing, creating a terrible sight and smell for shoppers.",3,Waste_Management,
The municipal council needs to implement a better system for managing waste generated during large public events and festivals.,3,Waste_Management,
"Many street vendors discard their waste directly into the open drains, causing blockages and foul odors.",3,Waste_Management,
"The waste collection vehicle's lifting mechanism is often faulty, causing delays and manual spillage of garbage.",2,Waste_Management,
The uncollected garbage near the entrance of the government school is causing a very foul smell and is unhygienic for children.,4,Waste_Management,
"There's a consistent issue of waste being burnt in open plots by local residents, causing significant air pollution.",4,Waste_Management,
"The bins are too few and far between on the main thoroughfare of our city, leading to widespread littering.",2,Waste_Management,
"The waste collection service is unreliable; sometimes they come, sometimes they don't for several days.",3,Waste_Management,
"The waste segregation awareness is very low among residents, despite repeated requests. More enforcement is needed.",2,Waste_Management,
"A huge pile of construction waste has been dumped near the flyover ramp, causing a major eyesore and traffic hazard.",4,Waste_Management,
"The waste collection truck often arrives before the scheduled time, making it difficult for residents to dispose of waste.",2,Waste_Management,
"The area around the public park is always full of litter, especially plastic bottles and snack wrappers.",2,Waste_Management,
No proper system for collecting bulky waste like old furniture or appliances. They just lie on the roadside for weeks.,3,Waste_Management,
"The waste processing plant is not operating efficiently, leading to a backlog of unprocessed waste.",3,Waste_Management,
"The garbage bins near the local eatery are always overflowing with food waste, attracting pests and creating a terrible smell.",3,Waste_Management,
"The municipal sweepers often leave piles of collected waste on the roadside for hours, only for it to be scattered by wind.",2,Waste_Management,
"The drainage system in our colony is often clogged due to improper disposal of waste, leading to frequent flooding during rains.",4,Waste_Management,
"The waste collection workers are often seen throwing garbage from one bin to another, making a mess.",2,Waste_Management,
"Illegal dumping of household waste by residents on vacant plots, despite notices and fines.",3,Waste_Management,
"The waste collection bins are not being cleaned regularly, leading to a buildup of grime and a foul odor.",2,Waste_Management,
"The roads leading to the landfill are often covered with spilled garbage from overloaded trucks, creating dangerous driving conditions.",4,Waste_Management,
"The local market lacks proper waste disposal facilities, leading to a huge mess on market days.",3,Waste_Management,
"The waste collection service is very inconsistent in our lane, often skipping it for days on end.",3,Waste_Management,
"A large amount of discarded electronics and plastic waste has been dumped illegally near the river, contaminating the water.",5,Waste_Management,
"The street cleaners often sweep debris into the drains instead of collecting it, causing blockages.",3,Waste_Management,
The area around the local tea stall is always covered in plastic cups and tea leaves. Needs more frequent cleaning.,2,Waste_Management,
"The bins provided are too far from residential areas, forcing people to carry waste long distances or dump it locally.",2,Waste_Management,
"The waste collection workers demand extra payment for collecting segregated waste, which is unacceptable.",2,Waste_Management,
Overflowing public bins near the children's park are a health hazard and spoil the park's environment.,3,Waste_Management,
"Lack of proper waste management in the newly developed urban extensions, leading to heaps of garbage everywhere.",4,Waste_Management,
"The waste collection vehicle often comes too early in the morning, making it hard to dispose of fresh daily waste.",1,Waste_Management,
"The dustbins in our locality are damaged and broken, allowing garbage to spill out easily.",2,Waste_Management,
"There's a persistent smell of rotting garbage from the waste transfer station, especially during hot weather.",4,Waste_Management,
"Many residents are unaware of the waste collection schedule, leading to garbage being left out at odd times.",1,Waste_Management,
The area around the local temple is always covered in discarded puja items and plastic bags. Needs better management.,3,Waste_Management,
The waste collection staff are often rude and uncooperative when approached by residents with queries.,1,Waste_Management,
A huge amount of discarded furniture has been left on the roadside near the main market for over a week.,3,Waste_Management,
"The main drainage canal is completely choked with plastic and domestic waste, causing a severe flood risk during rains.",4,Waste_Management,
Uncollected garbage near the bus stand in peak hours is creating a terrible inconvenience for commuters.,3,Waste_Management,
"The municipal sweepers often leave large piles of dirt and leaves on the roadside after sweeping, which are not picked up promptly.",2,Waste_Management,
Lack of proper e-waste disposal system. Old electronics are just mixed with regular household garbage.,3,Waste_Management,
"The waste collection vehicle often leaks foul-smelling liquid onto the street as it passes, leaving trails of filth and attracting flies.",3,Waste_Management,
"The waste collection points are not illuminated at night, encouraging illegal dumping under the cover of darkness.",2,Waste_Management,
"The bins provided are too small for the volume of waste generated by our building, leading to constant overflow.",2,Waste_Management,
"The waste collection staff often ignore specific requests for clearing large items, despite being informed in advance.",2,Waste_Management,
The area around the local clinic is always full of medical waste mixed with general garbage. This is a huge health risk.,5,Waste_Management,
"During monsoon, the waste collection frequency decreases, leading to massive accumulation of garbage and heightened health risks.",4,Waste_Management,
Uncollected garbage near the police station is a bad reflection on civic management.,3,Waste_Management,
"Many residential areas lack proper segregation bins, forcing residents to mix all waste types.",2,Waste_Management,
The waste collection schedule is highly inconsistent; we can never predict when the truck will arrive.,2,Waste_Management,
"A huge pile of construction debris is blocking half of our narrow lane, making it difficult for vehicles to pass.",4,Waste_Management,
The waste collection crew often leaves behind a mess of spilled garbage after emptying the community bins.,2,Waste_Management,
The area around the local school is always full of food wrappers and plastic waste after recess. Needs regular cleanup.,3,Waste_Management,
Lack of proper awareness among citizens about the ill effects of open dumping and littering.,1,Waste_Management,
"The waste bins provided are often filled with non-household waste like construction debris, leaving no space for residential garbage.",3,Waste_Management,
"The waste collection vehicle is often overloaded, causing waste to fall onto the road during transit.",3,Waste_Management,
"The main road outside Sector 10 is often covered with plastic bags and general litter, especially near the busy market.",3,Waste_Management,
"Unauthorised burning of plastic waste by some residents, creating toxic fumes and severe air pollution.",5,Waste_Management,
"The waste collection staff often arrive late and perform a rushed, incomplete job of clearing the bins.",2,Waste_Management,
"The public bins near the park are always overflowing by late afternoon, leading to a very unhygienic environment.",3,Waste_Management,
"The waste management infrastructure in our area is very poor, with insufficient bins and irregular collection.",3,Waste_Management,
"The waste collection points are not being disinfected regularly, leading to foul odors and pest infestation.",3,Waste_Management,
"A huge pile of garden waste and dried leaves has been sitting near the community centre for over two weeks, becoming a fire hazard.",3,Waste_Management,
"The main drain in our locality is frequently blocked by plastic waste, causing stagnant water and mosquito breeding.",4,Waste_Management,
"The waste collection service is totally absent in the newly merged villages, leading to rampant open dumping.",5,Waste_Management,
"The garbage truck frequently skips our residential street, leaving our bins full for days.",3,Waste_Management,
The market area is always a mess on Sunday evenings due to excessive waste generation and slow collection.,3,Waste_Management,
"Many roadside food stalls do not have proper waste bins, leading to direct littering on the streets.",2,Waste_Management,
"The waste collection workers are often seen leaving behind small pieces of trash after emptying the bins, making the area look untidy.",2,Waste_Management,
Illegal dumping of hazardous waste near the local river. This is a severe environmental and health emergency.,5,Waste_Management,
"The bins provided for public use are often broken or missing lids, making them ineffective.",2,Waste_Management,
The waste collection schedule is unpredictable; it's a nuisance to wait for the truck without knowing when it will arrive.,2,Waste_Management,
"A huge pile of household garbage has been dumped at the corner of the street, attracting stray animals and creating a terrible smell.",3,Waste_Management,
"The municipal sweepers often leave the collected garbage piles unattended for long periods, which then get scattered by wind or animals.",2,Waste_Management,
"Lack of adequate waste disposal facilities near the main tourist attractions, leading to visible litter everywhere.",3,Waste_Management,
"The waste collection staff often mix segregated waste in their truck, defeating the purpose of segregation efforts.",2,Waste_Management,
"The wholesale market generates a massive amount of organic and inorganic waste daily, but the collection is highly insufficient.",4,Waste_Management,
"There is a continuous strong stench emanating from the garbage collection point, especially in the afternoons.",3,Waste_Management,
"Unsecured waste at the transfer station is blown around by the wind, littering the entire surrounding area.",3,Waste_Management,
The waste collection services are completely non-existent in the peripheral areas of our town.,4,Waste_Management,
Overflowing bins at the main entry point to the city are giving a very bad impression.,3,Waste_Management,
"The local pond is completely covered with plastic waste and other garbage, making it an ecological disaster.",5,Waste_Management,
Pest infestation is rampant around the uncollected garbage heaps near our residential buildings.,4,Waste_Management,
"The municipal workers often demand money to clear away large waste items like old furniture, which should be a free service.",2,Waste_Management,
"There's no systematic collection for e-waste in our area, leading to old electronics being dumped everywhere.",3,Waste_Management,
"The waste collection vehicle frequently breaks down, leading to severe delays and accumulation of garbage.",3,Waste_Management,
"The area behind the local railway station is always littered with waste, making it look very unhygienic.",3,Waste_Management,
Improper disposal of sanitary waste in public bins leads to unhygienic conditions and blockages.,3,Waste_Management,
"Many bins are placed in very inconvenient spots, forcing people to just dump their waste on the roadside.",2,Waste_Management,
"The garbage collectors are often very rude and uncooperative, making interaction unpleasant.",1,Waste_Management,
The area near the local 'chaiwallah' is always covered in plastic cups and cigarette butts. Needs better waste bins.,2,Waste_Management,
"During heavy monsoon, the uncollected garbage gets washed into the drains, causing major flooding in our locality.",4,Waste_Management,
Overflowing waste bins at the entrance of the main market. It's a very unappealing sight for shoppers.,3,Waste_Management,
"The waste management plant is causing severe air and water pollution, affecting the health of nearby residents.",5,Waste_Management,
There's a consistent problem of pet waste not being cleaned up from the footpaths. We need dedicated bins for it.,2,Waste_Management,
"The industrial zone is constantly plagued by illegal dumping of chemical waste, posing a grave threat to the environment.",5,Waste_Management,
"The bins are often used for dumping construction debris, leaving no space for regular household garbage.",3,Waste_Management,
"The municipal staff don't wear appropriate protective gear while handling waste, putting their health at risk.",1,Waste_Management,
A huge amount of uncollected garbage near the river bank is polluting the water and causing a health crisis.,5,Waste_Management,
"The waste collection points lack proper lighting, leading to illegal dumping activity at night.",2,Waste_Management,
"The waste collection trucks are old and frequently break down, leading to severe disruption in service.",2,Waste_Management,
"Our street is frequently skipped by the waste collection truck, causing our bins to overflow for days.",3,Waste_Management,
"The area behind the main market is always a mess with food waste and packaging, attracting rodents.",3,Waste_Management,
"Lack of proper facilities for collecting and recycling plastic waste, leading to its accumulation everywhere.",2,Waste_Management,
"The waste collection workers sometimes leave behind a mess of spilled garbage after emptying the bins, which is very unsightly.",2,Waste_Management,
"Unauthorised burning of garbage occurs frequently in vacant plots, causing severe air pollution and health issues.",4,Waste_Management,
"The public bins are often full by midday, and waste starts spilling onto the streets, making the area look very dirty.",3,Waste_Management,
"The waste management system is very inefficient, with frequent delays in collection and overflowing bins.",3,Waste_Management,
"The waste collection points are not disinfected regularly, leading to persistent foul odors and unsanitary conditions.",3,Waste_Management,
"A massive pile of garden waste and dried leaves has been sitting near the park entrance for weeks, becoming a huge fire risk.",4,Waste_Management,
"The main drain running through our colony is completely choked with plastic waste, leading to water stagnation and mosquito breeding.",4,Waste_Management,
"The waste collection service is completely unreliable in our area, leading to constant frustration and overflowing bins.",4,Waste_Management,
"The market area is always incredibly dirty after closing hours, with huge amounts of waste left on the streets.",3,Waste_Management,
"Many street food vendors simply dump their waste on the roadside, contributing to a huge litter problem.",2,Waste_Management,
"The waste collection workers often leave behind a lot of small garbage pieces after emptying the bins, making the area look untidy.",2,Waste_Management,
Illegal dumping of hazardous biomedical waste near a residential area. This is an extremely grave health and environmental threat.,5,Waste_Management,
"The bins provided for public use are often damaged and broken, allowing garbage to spill out easily onto the streets.",2,Waste_Management,
"The waste collection schedule is highly inconsistent and poorly communicated, causing confusion among residents.",2,Waste_Management,
"A huge pile of household garbage has been dumped at the main intersection, attracting rodents and causing a terrible stench.",3,Waste_Management,
"The municipal sweepers often leave piles of dirt and leaves unattended for long periods, which then get scattered by wind.",2,Waste_Management,
Lack of proper facilities for managing e-waste. Old electronics are frequently dumped with general garbage.,3,Waste_Management,
"The waste collection vehicle often leaks foul-smelling liquid onto the roads, leaving behind trails of filth and attracting flies.",3,Waste_Management,
"The waste collection points are poorly lit at night, encouraging illegal dumping of various kinds of waste.",2,Waste_Management,
The bins provided are consistently too small for the amount of waste generated by our large apartment complex.,2,Waste_Management,
"The waste collection staff often ignore requests for special pickups of bulky items, causing them to sit on the roadside for ages.",2,Waste_Management,
"The area around the government hospital is constantly marred by uncollected medical and general waste, posing a huge health risk.",5,Waste_Management,
"During monsoon, the waste collection services become very infrequent, leading to massive garbage piles and health concerns.",4,Waste_Management,
Uncollected garbage near the main administrative building is a very poor reflection on civic management.,3,Waste_Management,
"Many new residential developments lack basic waste segregation bins, forcing all waste to be mixed.",2,Waste_Management,
The waste collection schedule is highly erratic; it's impossible to plan when to put out the garbage.,2,Waste_Management,
"A huge amount of construction debris is blocking a significant portion of the main road, causing traffic jams and safety issues.",4,Waste_Management,
The waste collection crew consistently leaves a substantial amount of spilled garbage behind after emptying bins.,2,Waste_Management,
The area around the local coaching center is always littered with food wrappers and study materials after classes.,3,Waste_Management,
Lack of effective awareness campaigns on waste reduction and recycling among the general public.,1,Waste_Management,
"Illegal street hawkers near Lajpat Nagar market are completely blocking the footpath. Pedestrians are forced to walk on the main road, leading to serious safety concerns. Urgent action required.",4,Traffic_Encroachment,
"Vehicles are consistently parked in 'no parking' zones around Sector 18 metro station, causing massive traffic bottlenecks during peak hours.",3,Traffic_Encroachment,
"Construction material from a building site on Ashram Road has been dumped on the roadside, obstructing traffic flow and posing a hazard.",4,Traffic_Encroachment,
Shopkeepers on Linking Road are encroaching onto the public footpath with their displays. It's impossible for pedestrians to use the pavement.,3,Traffic_Encroachment,
"Autorickshaws create an unofficial stand daily near Patel Nagar Metro Exit 2, blocking one entire lane of traffic.",4,Traffic_Encroachment,
Parking on both sides of the narrow lane leading to Shiv Mandir in Karol Bagh is making it impossible for two-way traffic. Please clear.,3,Traffic_Encroachment,
Vendors with their 'thelas' completely choke the road in front of the local school in Janakpuri every evening. Kids are at risk.,5,Traffic_Encroachment,
"Buses are illegally parked and waiting at the underpass near Sarita Vihar, leading to severe congestion and honking.",4,Traffic_Encroachment,
"Two-wheelers consistently use the footpath as a shortcut near the DND Flyway exit, endangering pedestrians.",3,Traffic_Encroachment,
Building debris piled up near the Sector 15 market entrance. Blocks visibility and causes traffic diversions.,3,Traffic_Encroachment,
"Unauthorised temporary stalls have come up on the main road in front of City Centre Mall, creating chaos.",4,Traffic_Encroachment,
"Hawkers occupy almost half the road near the GK-1 M Block Market, making it difficult for cars to pass.",4,Traffic_Encroachment,
"Illegal parking by visitors to the temple on MG Road frequently causes major traffic jams, especially on weekends.",3,Traffic_Encroachment,
"Construction sand and gravel are left on the main road in Green Park Extension, narrowing the carriageway considerably.",3,Traffic_Encroachment,
"Street vendors have encroached upon the service road near Dwarka Sector 6 market, forcing vehicles onto the main carriageway.",4,Traffic_Encroachment,
"Private cars are routinely parked on the footpath outside our apartment complex in Rohini, blocking pedestrian movement.",2,Traffic_Encroachment,
"The entire area outside Saket metro station becomes a parking lot for autos and taxis, completely blocking pedestrian paths.",4,Traffic_Encroachment,
"Shopkeepers in Chandni Chowk consistently display their goods on the road, making it impossible to navigate the area.",5,Traffic_Encroachment,
"Building materials dumped on the road near the bypass in Ghaziabad, posing a risk to fast-moving traffic.",4,Traffic_Encroachment,
"Fruit vendors have taken over the entire corner of the street near Mayur Vihar Phase 1, causing daily traffic snarls.",3,Traffic_Encroachment,
"Delivery vehicles constantly double-park outside the commercial complex on Golf Course Road, creating severe congestion.",4,Traffic_Encroachment,
"Footpath near Connaught Place has numerous vendors, forcing tourists and office-goers onto the road.",3,Traffic_Encroachment,
Illegal encroachments by eateries on the roadside near Delhi University North Campus. Leads to huge crowds and blocked traffic.,4,Traffic_Encroachment,
"Temporary religious structures have encroached upon the main road near Akshardham Temple, particularly during festivals.",5,Traffic_Encroachment,
Pavement completely blocked by parked bikes and scooters in front of GTB Hospital. No space for patients or their families.,4,Traffic_Encroachment,
Construction waste on the main road near AIIMS. Extremely dangerous for motorists and pedestrians alike.,5,Traffic_Encroachment,
"Hawkers have taken over the bus stop area near ISBT Anand Vihar, making it difficult for passengers to board/alight.",3,Traffic_Encroachment,
"Cars are routinely parked on the pedestrian crossing near the local market in Vivek Vihar, posing a high risk.",3,Traffic_Encroachment,
"Unauthorised tea stalls and food carts are blocking the entrance to our colony in Vasant Kunj, causing inconvenience.",2,Traffic_Encroachment,
"The main road through Shahdara market is heavily encroached by vendors and their goods, leading to chronic traffic jams.",4,Traffic_Encroachment,
"Aggressive street vendors near the Hauz Khas Village entrance completely block the pathway, especially on weekends.",3,Traffic_Encroachment,
"Building debris has been left on the footpath near the school in Defence Colony, forcing children to walk on the road.",4,Traffic_Encroachment,
Illegal parking of commercial vehicles on the service lane along NH-8 near Cyber City. Blocks traffic flow significantly.,4,Traffic_Encroachment,
"Shopkeepers in Old Delhi's Naya Bazaar routinely extend their shop fronts onto the narrow lanes, causing perpetual congestion.",5,Traffic_Encroachment,
"Autorickshaws and e-rickshaws create an unofficial stand near the hospital entrance in Sector 29, severely hindering access.",5,Traffic_Encroachment,
"Motorcycles and scooters are constantly parked on the footpath near the university main gate, making it a pedestrian hazard.",3,Traffic_Encroachment,
Construction waste and sand are regularly dumped on the road in front of the local park in Paschim Vihar. Needs clearing.,3,Traffic_Encroachment,
"The entire pavement along Barakhamba Road is encroached by hawkers selling various items, making it unusable.",3,Traffic_Encroachment,
"Illegal vehicle repairs conducted on the main road in Maya Puri Industrial Area, blocking a significant portion of the lane.",4,Traffic_Encroachment,
Vendors have encroached the road in front of the police station in Civil Lines. Very bad optics and traffic situation.,4,Traffic_Encroachment,
"Cars parked on both sides of the road in front of the community center in Pitampura, making it impossible for events to proceed smoothly.",3,Traffic_Encroachment,
The lane leading to the local market in Malviya Nagar is perpetually blocked by hawkers and illegally parked vehicles.,4,Traffic_Encroachment,
Monsoon rains have washed construction debris onto the main road near Karkardooma Court. Causes extreme danger and waterlogging.,5,Traffic_Encroachment,
"Unauthorised political hoardings and banners are encroaching on footpaths and roadsides near India Gate, obstructing views and paths.",2,Traffic_Encroachment,
Commercial establishments on Palam Vihar Extension are using the public footpath for stacking goods. This is a daily nuisance.,3,Traffic_Encroachment,
"Hawkers near the railway station exit are aggressively encroaching on the pedestrian area, making it difficult for commuters.",4,Traffic_Encroachment,
"Persistent illegal parking by visitors to the shopping complex on Sohna Road, causing significant traffic bottlenecks.",4,Traffic_Encroachment,
"Road construction material is left unattended on the main road in Dwarka Sector 23, narrowing lanes and causing confusion.",3,Traffic_Encroachment,
